#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 02 23 05 50  32  4.6  5.9  2.55 12.90  8.35 292 1021.7  13.4  13.8 999.0 99.0 99.00
2010 02 23 06 50  56  6.0  7.0  2.53 16.00  8.46 292 1021.5  12.9  13.8 999.0 99.0 99.00
2010 02 23 07 50 142  3.6  4.9  2.40 11.43  8.73 275 1022.0  12.1  13.7 999.0 99.0 99.00
2010 02 23 08 50 276  0.8  1.7  2.44 14.81  9.23 288 1022.7  12.0  13.7 999.0 99.0 99.00
2010 02 23 09 50  64  1.1  2.2  2.50 14.81  9.01 281 1023.0  12.2  13.7 999.0 99.0 99.00
2010 02 23 10 50  78  2.0  3.3  2.18 14.81  9.30 299 1022.8  12.0  13.7 999.0 99.0 99.00
2010 02 23 11 50  74  4.4  5.6  2.26 16.00  9.64 279 1022.3  11.8  13.7 999.0 99.0 99.00
2010 02 23 12 50 146  3.1  4.0  2.15 13.79  9.01 280 1022.0  11.8  13.7 999.0 99.0 99.00
2010 02 23 13 50 143  2.4  3.2  2.12 12.90  9.34 284 1023.0  11.6  13.7 999.0 99.0 99.00
2010 02 23 14 50 117  3.8  5.1  2.18 13.79  9.42 292 1022.9  11.3  13.7 999.0 99.0 99.00
2010 02 23 15 50 130  3.5  5.3  2.18 13.79  9.47 279 1023.6  11.0  13.7 999.0 99.0 99.00
2010 02 23 16 50 127  2.2  3.2  2.21 14.81  9.36 294 1024.4  11.7  13.7 999.0 99.0 99.00
2010 02 23 17 50 134  2.5  3.7  2.02 12.90  9.30 278 1024.6  11.7  13.7 999.0 99.0 99.00
2010 02 23 18 50 137  3.2  4.2  1.84 10.81  9.04 280 1024.8  12.3  13.8 999.0 99.0 99.00
2010 02 23 19 50 181  4.5  5.1  1.85 12.90  9.17 274 1024.7  13.3  13.8 999.0 99.0 99.00
2010 02 23 20 50 196  2.6  3.3  1.83 14.81  9.45 289 1023.9  13.1  13.8 999.0 99.0 99.00
2010 02 23 21 50 244  1.6  2.3  1.94 12.90  9.57 281 1023.9  13.5  13.9 999.0 99.0 99.00
2010 02 23 22 50 137  0.8  1.5  1.74 12.12  8.94 265 1023.2  13.4  13.8 999.0 99.0 99.00
2010 02 23 23 50 285  0.9  1.4  1.77 16.00  9.13 289 1023.7  13.7  13.8 999.0 99.0 99.00
2010 02 24 00 50 190  0.9  1.4  1.54 14.81  9.02 270 1023.0  13.5  13.9 999.0 99.0 99.00
2010 02 24 01 50 163  1.5  2.0  1.57 11.43  9.47 260 1022.8  13.6  13.9 999.0 99.0 99.00
2010 02 24 02 50 232  2.7  3.6  1.74 12.90 10.14 266 1023.5  13.5  14.1 999.0 99.0 99.00
2010 02 24 03 50 167  2.2  2.6  1.57 14.81  9.94 286 1023.2  13.5  14.2 999.0 99.0 99.00
2010 02 24 04 50 163  2.7  3.4  1.61 12.90 10.22 283 1023.3  13.6  14.1 999.0 99.0 99.00
2010 02 24 05 50 165  4.6  5.4  1.48 12.90 10.21 276 1023.1  13.6  14.1 999.0 99.0 99.00
2010 02 24 06 50 156  3.8  4.6  1.63 14.81 10.62 280 1023.0  13.6  14.0 999.0 99.0 99.00
2010 02 24 07 50 181  4.5  5.3  1.52 12.90 10.06 276 1023.2  13.7  13.8 999.0 99.0 99.00
2010 02 24 08 50 160  3.7  5.0  1.48 11.43  8.79 278 1022.8  13.1  13.9 999.0 99.0 99.00
2010 02 24 09 50 150  4.7  5.6  1.74 12.90  9.42 278 1022.6  11.7  13.9 999.0 99.0 99.00
2010 02 24 10 50 130  6.2  7.3  1.55 11.43  8.63 277 1021.6  11.9  13.7 999.0 99.0 99.00
2010 02 24 11 50 129  6.8  8.2  1.80 21.05  8.79 251 1020.5  11.3  13.7 999.0 99.0 99.00
2010 02 24 12 50 136  7.2  8.5  1.78 21.05  7.39 185 1020.2  11.7  13.7 999.0 99.0 99.00
2010 02 24 13 50 153  7.3  8.8  1.94 21.05  7.32 297 1020.2  12.8  13.7 999.0 99.0 99.00
2010 02 24 14 50 158  7.3  8.5  2.12 19.05  7.37 289 1020.1  13.4  13.7 999.0 99.0 99.00
2010 02 24 15 50 158  8.5 10.3  1.82 19.05  6.85 301 1020.0  13.4  13.7 999.0 99.0 99.00
