#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2011 01 09 08 50 328  8.7 10.5  2.67 12.90  6.99 308 1015.7  11.4  12.1 999.0 99.0 99.00
2011 01 09 09 50 322  8.5 10.3  2.67  8.33  6.68 311 1016.0  11.3  12.1 999.0 99.0 99.00
2011 01 09 10 50 342  6.8  8.7  2.78  7.69  6.97 300 1016.2  11.1  12.1 999.0 99.0 99.00
2011 01 09 11 50  23  4.0  5.0  2.65  8.33  6.78 306 1016.4  10.4  12.0 999.0 99.0 99.00
2011 01 09 12 50  27  4.1  4.9  2.75  8.33  7.13 299 1016.5   9.1  12.0 999.0 99.0 99.00
2011 01 09 13 50  19  3.5  4.8  2.74  9.09  7.13 309 1016.7   9.3  12.0 999.0 99.0 99.00
2011 01 09 14 50   2  6.1  8.9  2.57  8.33  7.16 298 1017.0   9.7  12.0 999.0 99.0 99.00
2011 01 09 15 50  32  4.8  5.8  2.55  8.33  6.94 313 1017.6   9.2  11.9 999.0 99.0 99.00
2011 01 09 16 50  37  4.2  5.7  2.86  9.09  7.34 309 1018.2   8.4  11.9 999.0 99.0 99.00
2011 01 09 17 50  57  5.1  6.0 99.00 99.00 99.00 999 1018.2   8.2  11.9 999.0 99.0 99.00
2011 01 09 18 50  35  4.1  5.0  2.99  9.09  7.61 311 1018.3   8.7  11.9 999.0 99.0 99.00
2011 01 09 19 50 335  6.9  8.4  2.91 10.81  7.62 309 1017.6   9.6  11.9 999.0 99.0 99.00
2011 01 09 20 50 336  7.7 10.0  2.64 10.81  7.32 305 1016.5   9.7  11.9 999.0 99.0 99.00
2011 01 09 21 50 331  7.7  9.3  2.54 10.81  6.96 314 1016.2   9.9  11.9 999.0 99.0 99.00
2011 01 09 22 50 334  7.7  9.5  2.39 10.81  6.79 308 1016.0  10.0  11.9 999.0 99.0 99.00
2011 01 09 23 50 319  8.4  9.6  2.32 10.00  6.76 307 1016.4  10.4  11.9 999.0 99.0 99.00
